field	value	hex_color
country	Argentina	#C50C0C
country	Australia	#C5C50C
country	Austria	#0CC5A6
country	Belgium	#0CC569
country	Brazil	#C52B0C
country	Canada	#C5C50C
country	China	#0C88C5
country	Cote d'Ivoire	#C50C49
country	Egypt	#C50C2B
country	Finland	#0CC5C5
country	France	#49C50C
country	Germany	#2BC50C
country	Hong Kong	#0C0CC5
country	Ireland	#0CA6C5
country	Italy	#0CC50C
country	Japan	#0C69C5
country	Jordan	#C50CC5
country	Kenya	#C50C69
country	Kuwait	#C50CA6
country	Mexico	#C5690C
country	Mongolia	#A60CC5
country	Nepal	#C50CC5
country	Netherlands	#0CC549
country	New Zealand	#A6C50C
country	Nicaragua	#C5A60C
country	Panama	#C5880C
country	Papua New Guinea	#88C50C
country	Peru	#C5490C
country	Philippines	#880CC5
country	Russia	#0C49C5
country	Slovakia	#0C69C5
country	South Africa	#C50C88
country	South Korea	#0C49C5
country	Spain	#0CC52B
country	Switzerland	#0CC588
country	Taiwan	#0C2BC5
country	Thailand	#490CC5
country	USA	#A6C50C
country	Uganda	#C50C49
country	United Kingdom	#0C88C5
country	Viet Nam	#690CC5
lineage	B	#C52B0C
lineage	B.3	#C5880C
lineage	B.D	#49C50C
lineage	B.D.1	#2BC50C
lineage	B.D.1.1	#0CC50C
lineage	B.D.2	#0CC52B
lineage	B.D.3	#0CC549
lineage	B.D.4	#0CC5C5
lineage	B.D.4.1	#0CA6C5
lineage	B.D.4.1.1	#0C88C5
lineage	B.D.4.1.2	#0C69C5
lineage	B.D.4.1.3	#0C49C5
lineage	B.D.E.1	#690CC5
lineage	B.D.E.1.1	#880CC5
lineage	B.D.E.1.2	#A60CC5
lineage	B.D.E.1.4	#C50CC5
lineage	B.D.E.1.7	#C50CA6
lineage	B.D.E.1.8	#C50C88
lineage	B.D.E.2	#C50C69
lineage	B.D.E.4	#C50C49
lineage	B.D.E.5	#C50C2B
lineage	B.D.E.6	#C50C49
lineage	B.D.E.7	#C50C69
host_type	Human	#C50C0C
host_type	Unknown	#C5490C
host	Homo sapiens	#C50C0C
host		#C5490C
