accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	year	metadata_score	lineage_trunc
PP_0022ZFZ.2	B.D	2006-07-25	Argentina		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15278	2013-11-25	KF826839.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KF826839.1			RSVB/Homo sapiens/ARG/187/2006	0	0	2006	6.4891874393007445	B.D
PP_0022ZGX.2	B.D	2007-05-22	Argentina		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15269	2013-11-25	KF826842.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KF826842.1			RSVB/Homo sapiens/ARG/195/2007	0	0	2007	6.488604726448689	B.D
PP_0022ZKQ.2	B.D.1	2008-06-10	Argentina		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	Homo sapiens	15147	2013-11-25	KF826845.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9937590329785836			KF826845.1			RSVB/Homo sapiens/ARG/201/2008	0	0	2008	6.480705730009712	B.D.1
PP_002NHLX.1	B.D	2014-06-04	Argentina	Ciudad Autonoma de Buenos Aires	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15215	2023-02-11	ON237102.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			ON237102.1			HRSV/B/Argentina/BA-HNRG-031/2014	0	0	2014	7.485108449336355	B.D
PP_002NJAH.1	B.D	2014-08-19	Argentina	Buenos Aires, Jose C. Paz	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15214	2023-02-11	ON237126.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9990145841545132			ON237126.1			HRSV/B/Argentina/BA-HNRG-087/2014	2	0	2014	7.485043703463904	B.D
PP_002NHEA.1	B.D	2014-05-28	Argentina	Buenos Aires, Malvinas Argentinas	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15214	2023-02-11	ON237096.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			ON237096.1			HRSV/B/Argentina/BA-HNRG-022/2014	0	0	2014	7.485043703463904	B.D
PP_002NHNT.1	B.D	2014-06-06	Argentina	Buenos Aires, Lanus	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15214	2023-02-11	ON237104.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			ON237104.1			HRSV/B/Argentina/BA-HNRG-036/2014	0	0	2014	7.485043703463904	B.D
PP_002NH4W.1	B.D	2014-05-13	Argentina	Buenos Aires, Dock Sud	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15213	2023-02-11	ON237086.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			ON237086.1			HRSV/B/Argentina/BA-HNRG-007/2014	0	0	2014	7.484978957591453	B.D
PP_002NJ8M.1	B.D	2014-08-05	Argentina	Buenos Aires, Moreno	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15213	2023-02-11	ON237124.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			ON237124.1			HRSV/B/Argentina/BA-HNRG-083/2014	0	0	2014	7.484978957591453	B.D
PP_002NHF8.1	B.D	2014-05-30	Argentina	Buenos Aires, Lugano	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	Homo sapiens	15213	2023-02-11	ON237097.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			ON237097.1			HRSV/B/Argentina/BA-HNRG-024/2014	0	0	2014	7.484978957591453	B.D
