strain	genbank	date	country	region	division	location	length	host	host_type	lineage	authors	date_submitted
PP_0022ZFZ.2	PP_0022ZFZ.2	2006-07-25	Argentina				15278	Homo sapiens	Human	B.D	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	2013-11-25
PP_0022ZGX.2	PP_0022ZGX.2	2007-05-22	Argentina				15269	Homo sapiens	Human	B.D	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	2013-11-25
PP_0022ZKQ.2	PP_0022ZKQ.2	2008-06-10	Argentina				15147	Homo sapiens	Human	B.D.1	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Videla, C.; Wentworth, D. E.; Henrickson, K. J.	2013-11-25
PP_002NHLX.1	PP_002NHLX.1	2014-06-04	Argentina				15215	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJAH.1	PP_002NJAH.1	2014-08-19	Argentina				15214	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHEA.1	PP_002NHEA.1	2014-05-28	Argentina				15214	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHNT.1	PP_002NHNT.1	2014-06-06	Argentina				15214	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NH4W.1	PP_002NH4W.1	2014-05-13	Argentina				15213	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJ8M.1	PP_002NJ8M.1	2014-08-05	Argentina				15213	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHF8.1	PP_002NHF8.1	2014-05-30	Argentina				15213	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
